"Factory 3: Makerspace in Portland, ME | Woodshop ...",https://factory3.org/,"A workspace with tools, studios, classes, and a supportive community of other makers, Factory 3 helps unlock the amazing creative abilities within all of us"
Makerspace | University of New England in Maine,https://www.une.edu/innovation/makerspace,The P
Makerspaces,https://makerspace.com/,"Welcome to Make:'s Makerspace Directory, a comprehensive guide to the growing community of makerspaces around the globe"
Newton Makerspace | Durham Technical Community ...,https://www.durhamtech.edu/newton-makerspace,The Newton Makerspace is a collaborative workspace that provides students and faculty at Durham Tech access to specialized tools and equipment for turning their 
Splat Space – Durham's local makerspace!,https://www.splatspace.org/,"Splat Space is a 501c3 non-profit offering our members access to tools, machines and space to build their hobby project or start their freelance business"
The Bangor Makerspace,https://bangormakerspace.org/,"A makerspace is a collaborative and community-oriented workspace that provides individuals with access to various tools, equipment, and resources to create, "
Introducing MakerSpace,https://www.youtube.com/watch?v=A3xhnD2yjss,
MakerSpace — Children's Museum & Theatre of Maine,https://www.kitetails.org/makerspace,MakerSpace is a workshop for open-ended creation
What is a Makerspace? Is it a Hackerspace or ...,https://www.makerspaces.com/what-is-a-makerspace/,"A makerspace is a collaborative work space inside a school, library or public/private facility for making, learning, exploring and sharing"
Makerspace Directory: Find Makerspace Near Me,https://makerspacedir.com/,"Directory of Makerspace, Hackerspaces, Fablabs, Coworking spaces, and other creatives"
Factory 3 makerspace,https://mainearts.maine.gov/directory/arts/detail/6687,Factory 3 is a makerspace at 105 St
Maker Spaces And Craft Facilities,https://www.triangleartworks.org/directories/maker-spaces-and-craft-facilities,"Apr 21, 2024 — Triangle ArtWorks has compiled a list of makerspaces to make it easier to find spaces to create on your own, without initial outlay of capital"
"Makerspaces in Durham, NC",https://makerspacedir.com/location/durham/,"Makerspace, Hackerspaces, Fablabs, Coworking spaces, and other creatives in Durham, NC"
https://clemson.instructure.com/enroll/FDF6PW,https://clemson.instructure.com/enroll/FDF6PW,No information is available for this page
🎨What is a Maker Space❔🖨️,https://www.youtube.com/watch?v=dNNrXr0NeFU,
"Charlotte MakerSpace Make, Learn, Share",https://www.makerspacecharlotte.org/,"Looking to explore your creativity and bring your ideas to life? For just $50 a month, you and your family enjoy 24/7 access to our 21,000sf facility along with "
University of New England | Where cool ...,https://www.instagram.com/p/BPyHzrFF4fT/,
"Molten MakerSpace - High Point, NC",https://moltenmakerspace.com/,"Welcome to Molten Makerspace, where we are redefining creativity in High Point, NC"
What is a makerspace?,https://www.youtube.com/watch?v=-Vnu5B8VgLs,
Adult Makerspace,https://cmcanow.org/event/adult-makerspace-may-19/,"May 19, 2024 — Our Adult Makerspace is a monthly drop-in studio for adults, to meet other artists, makers, and creatives within the Midcoast community"
CTE / Makerspace Building Project,https://www.stgeorgemsu.org/page/cte-makerspace-building,"The new building will include two shop areas for boatbuilding, woodworking, and metalwork"
Studio Tour and Kids Maker Space!,https://mainecraftweekend.org/event/studio-tour-and-kids-maker-space/,"Oct 1, 2022 — Come see what it's like to paint, draw, build and sculpt in a fun filled maker space for kids of all ages"
Open Bench Project,https://www.facebook.com/OpenBenchProject/,"Open Bench Project, Portland, Maine"
Intro to Making: What is a Makerspace?,https://www.youtube.com/watch?v=RgzUHWGneNA,
"Manchester Makerspace – A makerspace in Manchester, New ...",https://www.manchestermakerspace.org/,Make something great at Manchester Makerspace 
Universidad,https://ar.pinterest.com/pin/where-cool-things-are-created-makerspace-more-info-in-link-in-bio-une-college-maine-makerspaces-makerspacemovement-makerspacemaine-coding-electronics--161988917831068237/,Where cool things are created #Makerspace
"Maine State Library Unveils 3D Printer, Other Tech in New ' ...",https://www.mainepublic.org/maine/2015-10-19/maine-state-library-unveils-3d-printer-other-tech-in-new-makerspace,"Oct 19, 2015 — AUGUSTA, Maine — The Maine State Library's ""unlimited possibilities"" room is now open for business, featuring 3D printers, large scanners "
The Draper & Maynard – Makerspace and Robotics Lab,https://makerspace.plymouthcreate.net/,The Draper & Maynard Makerspace at Plymouth State University maintains a current facility layout in a browser-accessible 3D file
Makerspace Organization and Management Ep. 6 Elementary ...,https://www.youtube.com/watch?v=LEieRdmFZbw&pp=ygULI215Y29hY2hlcDY%3D,
The Mini Makerspace | Who else LOVES fall? 🍂✨ Fall is ...,https://www.instagram.com/theminimakerspace/reel/DAmGTdrP2xP/,
Discover Our Makerspace - Makey Makey,https://www.youtube.com/watch?v=pyhb5qlCaWU,
Local Resources - 3D Printing,https://guides.cmcc.edu/c.php?g=1260931&p=9283510,UP Maker Space - Maine State Library
Makerspace – The Draper & Maynard,https://makerspace.plymouthcreate.net/category/makerspace/,The Draper & Maynard Makerspace at Plymouth State University maintains a current facility layout in a browser-accessible 3D file
MADE Makerspace is the place to explore your next endeavor!,https://www.youtube.com/watch?v=y4_idoXbgxw,
Makerspaces: Remaking Your Play and STEAM Early ...,https://www.barnesandnoble.com/w/makerspaces-michelle-kay-compton/1136755277,Makerspaces is a first-to-market resource for early childhood professionals that focuses on how to cultivate the maker mind-set in the youngest
Man in Green - What's a makerspace? How can it help your...,https://m.facebook.com/story.php?story_fbid=1218221645993519&id=100034170867193,What's a makerspace? How can it help your business? Start your week with a tour and meet other business owners and professionals like you
Local Makerspaces,https://www.maker-works.com/local-makerspaces,"Check out the following makerspaces in our part of Michigan: Maker Works, Maker Works Ann Arbor, AHA / All Hands Active, The Secret Lab at the Ann Arbor "
What is a Makerspace?,https://www.youtube.com/watch?v=GZU1Ay_y9xA,
What is a Makerspace,https://www.youtube.com/watch?v=0NfrKsQDoeU,
Makerspaces,https://www.youtube.com/watch?v=tzHue3yMEkk,
